Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Population,GDP,Energy Consumption,Energy Exports,Energy Imports,CO2 Emissions,Renewable Energy Jobs,Government Policies,R&D Expenditure,Renewable Energy Targets,Average Annual Temperature,Annual Rainfall,Solar Irradiance,Wind Speed,Hydro Potential,Geothermal Potential,Biomass Availability,Energy Storage Capacity,Grid Integration Capability,Electricity Prices,Energy Subsidies,International Aid for Renewables,Public Awareness,Energy Efficiency Programs,Urbanization Rate,Industrialization Rate,Energy Market Liberalization,Renewable Energy Patents,Educational Level,Technology Transfer Agreements,Renewable Energy Education Programs,Local Manufacturing Capacity,Import Tariffs on Energy Equipment,Export Incentives for Energy Equipment,Natural Disasters,Political Stability,Corruption Perception Index,Regulatory Quality,Rule of Law,Control of Corruption,Economic Freedom Index,Ease of Doing Business,Innovation Index,Number of Research Institutions,Number of Renewable Energy Conferences,Number of Renewable Energy Publications,Energy Sector Workforce,Proportion of Energy from Renewables,Public-Private Partnerships in Energy,Regional Renewable Energy Cooperation
Russia,2002,Geothermal,33683.26,6511.26,3247308952.64,254034439,146448889262547.75,807224.97,49692.40,1178.60,782294.09,246940,1,8931763500.70,0,-1.86,1572.50,267.03,9.72,61.88,9.65,50.38,572.67,0.86,0.17,825576274.22,322995087.03,1.35,0,48.60,63.02,0,404,2.33,1,0,5.98,13.68,93.57,0,9.55,8.33,5.22,8.21,9.74,39.68,39.81,77.23,368,91,4670,467929,47.96,1,0
Brazil,2015,Hydro,10591.60,4616.42,8251695360.03,760176400,2839886202583.03,221765.55,23636.32,73764.88,734014.10,540297,0,3512720509.86,0,-3.82,1435.99,178.32,10.73,2.12,87.12,61.20,791.61,0.00,0.32,952495727.08,544413167.66,9.09,0,1.29,51.62,0,261,4.19,1,0,7.47,22.70,88.87,0,8.38,7.29,7.97,5.60,2.01,64.74,40.13,40.56,326,89,9458,370516,21.80,0,1
Australia,2023,Biomass,29220.24,34540.48,5790696717.29,715176639,127914542629488.30,217464.19,95459.55,86866.06,205486.87,549671,0,1039548255.73,1,6.15,1559.28,196.72,4.21,43.58,8.32,5.09,852.82,0.80,0.11,485547391.00,2190737.08,8.31,1,70.88,82.83,0,619,1.72,0,0,42.92,56.15,57.09,0,1.57,8.62,5.99,4.63,4.90,12.29,57.92,56.29,842,40,4955,140425,15.19,1,1
USA,2009,Geothermal,68624.40,43192.73,5140180795.44,955482462,75207951707353.98,735397.83,50393.71,94216.99,886944.96,322134,0,3690945425.43,0,1.39,579.72,244.26,4.91,93.80,13.55,76.79,171.25,0.69,0.12,336476348.81,359297652.50,5.10,1,50.43,75.75,0,197,8.11,1,1,98.55,87.79,45.42,0,3.46,1.06,8.63,6.24,6.26,58.59,30.59,85.95,620,26,1232,252324,64.21,0,0
Russia,2011,Hydro,10002.83,30905.18,9383823499.86,727432793,95634777965240.69,690342.02,70539.21,74590.80,696040.04,303531,0,6665309645.09,0,-4.27,946.42,276.71,7.03,18.39,78.50,51.70,329.82,0.92,0.33,777235360.87,939279074.28,4.13,0,93.00,90.05,0,808,3.08,1,1,18.99,6.95,7.82,1,7.26,6.86,3.47,2.70,0.02,61.03,95.88,99.54,351,11,7814,825224,54.33,1,0
Germany,2021,Wind,24131.74,23035.03,765983043.08,104585007,123596755765468.84,597314.59,51615.32,88302.82,85367.15,747432,0,3081931517.34,1,18.93,2429.68,105.41,13.08,15.35,6.90,17.10,880.61,0.07,0.07,65506499.63,430459047.24,7.93,1,62.06,60.30,0,136,4.37,0,0,5.63,96.01,1.60,1,9.63,1.50,5.29,3.94,2.28,25.21,92.29,96.40,296,7,963,443180,99.87,0,0
India,2021,Geothermal,63436.58,40654.94,146156276.20,260234013,183842367917344.28,850600.30,70016.19,5058.89,52998.01,572243,0,1802327752.97,1,38.07,1226.65,293.90,1.67,73.08,19.92,76.86,468.33,0.65,0.22,686171780.40,602880028.70,1.62,0,48.40,1.28,1,697,1.23,1,1,65.42,39.19,64.39,1,4.35,0.80,8.73,7.76,9.05,2.76,78.09,11.07,137,90,749,701428,29.32,1,1
France,2005,Hydro,87452.31,1284.42,6958709429.89,404685652,117090829377854.72,896267.93,79143.78,52391.27,201784.93,642366,1,3117839743.20,1,-0.05,312.90,215.98,4.43,84.95,71.06,62.44,707.62,0.60,0.17,448719207.76,200931845.40,1.06,0,79.78,34.49,1,262,4.62,0,1,74.46,89.99,75.70,0,4.85,9.77,8.99,7.65,4.36,74.22,4.08,69.18,203,90,4835,872179,55.66,1,0
India,2006,Biomass,12614.85,34130.60,7418212237.57,1101684336,72046573474960.44,465375.70,33324.39,50157.97,559777.15,410846,0,5217715403.58,1,24.91,530.66,226.43,12.43,44.37,46.16,39.05,821.20,0.51,0.13,406441790.24,959491509.77,1.86,1,46.72,3.45,0,64,2.35,1,0,40.41,42.05,44.48,1,6.40,3.52,8.77,1.76,0.67,59.51,2.52,4.51,841,29,7434,618169,25.83,1,0
Japan,2018,Wind,23512.87,16067.28,4915253595.62,1295074456,10437409036508.51,332308.67,30051.31,70176.90,1550.81,176675,1,3898029270.68,0,5.72,281.69,276.70,5.40,30.74,56.05,51.98,23.18,0.93,0.10,255238716.99,86406946.66,4.61,0,59.33,12.04,1,852,9.03,1,1,87.19,77.12,3.39,0,2.33,5.99,0.08,6.64,4.79,63.96,46.41,95.24,399,44,5615,233210,35.91,0,1
Canada,2004,Solar,39231.08,3506.43,7419013748.35,1266808640,58493087138640.95,11156.78,73897.26,52086.31,226615.49,254576,0,9584778737.93,1,-2.62,2042.39,198.33,1.19,80.53,40.35,78.07,944.39,0.41,0.29,144236020.22,91518356.96,5.25,0,67.54,43.13,1,200,6.49,0,1,46.92,86.65,2.17,0,9.51,0.83,7.79,5.90,7.40,58.80,58.48,23.28,653,6,8113,747853,16.86,1,1
China,2008,Solar,41660.92,45121.69,7727943932.74,1349396408,61561338636928.44,444691.36,43188.54,40842.81,153715.15,277278,1,9979800674.02,1,12.75,1566.45,195.38,5.51,13.51,55.74,10.15,431.32,0.11,0.21,253302628.25,569014389.96,6.79,1,20.28,97.90,1,339,8.56,1,0,83.03,83.19,71.48,1,1.46,7.09,2.51,4.94,9.13,97.20,59.78,13.69,745,59,4336,317636,64.90,1,0
USA,2002,Solar,4144.81,16047.46,689946503.86,762509391,183533732934360.72,451799.18,92261.84,18147.02,655022.81,747334,1,6089434934.76,1,-3.23,196.11,214.00,0.21,45.66,26.92,72.86,203.53,0.96,0.49,108554650.65,464185502.03,3.92,1,6.24,85.78,1,555,8.50,1,1,17.93,4.05,4.72,0,8.92,2.82,7.12,5.33,9.49,87.02,91.80,46.26,592,58,246,743677,94.82,0,0
Canada,2003,Biomass,94354.63,22974.26,761229339.08,1230774405,196573226616098.44,144218.78,3582.52,8911.16,929984.92,902309,1,6123032039.48,0,22.78,1932.58,111.75,8.52,45.56,13.87,90.61,802.07,0.36,0.14,593428185.15,892937772.43,0.11,1,93.00,88.37,1,592,2.00,1,0,15.24,68.61,63.47,0,9.81,7.77,1.76,7.34,8.77,42.29,97.95,86.35,902,59,8601,548615,25.61,1,1
Brazil,2011,Solar,88354.10,20409.94,4007420222.52,609501255,154664265314043.16,851434.89,55596.65,79300.64,439657.78,700986,1,8188749829.61,0,7.34,655.67,281.48,10.41,36.60,26.47,99.49,350.99,0.42,0.12,262501690.47,772787841.49,7.05,1,82.79,24.18,1,956,6.27,0,0,17.20,46.38,54.33,0,6.04,8.52,0.89,2.49,5.67,31.38,95.74,93.06,36,25,3170,807570,24.09,0,0
France,2019,Geothermal,52851.69,11771.19,7336958423.28,3322986,38160923079331.64,386930.92,30371.01,13949.09,72018.32,408542,0,8223728637.62,1,36.56,1766.59,210.26,14.64,46.69,94.57,58.93,258.96,0.23,0.32,188495028.99,665202147.51,6.46,0,97.62,61.04,0,109,7.14,0,0,50.61,78.89,93.36,1,1.40,7.43,0.89,2.64,6.64,9.76,64.54,69.42,201,7,2924,815494,79.78,1,1
Canada,2008,Biomass,85524.07,19306.47,4645487355.85,68342569,133448122971316.77,773888.80,88395.28,16323.21,737399.73,9727,1,539067516.35,1,39.40,2662.58,210.00,6.74,72.33,85.35,74.18,954.66,0.73,0.06,764500407.60,110143866.27,8.17,0,44.64,61.70,1,491,8.22,0,1,39.91,53.72,63.92,0,4.62,1.94,5.16,9.62,3.51,92.54,25.12,76.62,126,52,8546,594957,20.48,1,0
Germany,2015,Wind,77614.10,7032.69,623646473.29,956132372,130743388035284.69,579609.43,86048.16,91235.55,859617.31,364163,0,3048582008.54,0,7.83,1027.93,259.26,14.96,73.78,50.10,68.85,147.32,0.02,0.21,95722780.13,438812436.25,5.65,0,73.74,67.84,0,691,4.85,1,0,36.17,57.82,36.03,0,0.93,3.75,8.96,7.76,9.83,90.11,80.53,82.60,485,22,1691,655360,0.11,1,0
China,2004,Solar,17462.46,12976.08,4487469678.17,621274532,6263666683614.48,775199.55,22758.10,45489.52,333189.87,204965,1,2406294725.93,1,12.94,910.81,263.33,7.57,94.00,25.16,94.19,562.16,0.21,0.43,43631700.07,640814854.58,7.91,0,48.34,60.05,0,405,5.77,0,0,90.55,66.39,70.82,1,7.42,0.96,3.54,7.52,3.32,80.38,32.61,38.87,583,12,2252,685569,52.59,0,0
India,2002,Wind,7824.41,16726.06,9946810652.91,1410599170,171032215950889.53,272500.27,86099.54,35040.45,789177.08,908425,1,6604961214.28,0,19.10,1893.60,118.50,4.47,37.90,4.35,51.74,256.81,0.66,0.15,882656044.95,57239157.64,7.13,1,35.63,7.43,0,547,9.89,0,1,56.52,34.41,49.26,0,5.53,3.02,4.49,8.55,4.20,90.28,39.95,97.92,963,24,1670,22195,42.87,1,1
Brazil,2002,Geothermal,55519.39,33381.46,9490944044.99,241108505,181626738162855.56,529544.05,58533.49,77582.85,759655.00,61778,0,6171254940.70,1,-2.36,1232.74,118.83,13.51,4.89,11.70,74.66,497.52,0.23,0.43,283481325.68,616827842.86,4.01,1,8.59,87.11,1,127,1.59,0,0,95.04,0.77,52.05,0,9.74,0.79,7.62,0.25,0.90,42.53,17.51,15.71,588,62,4619,78535,20.61,1,1
China,2022,Wind,75387.97,6155.20,9316943666.87,1086904109,173681331685606.25,367402.52,81263.12,23231.16,761686.39,293039,0,7819777493.78,0,24.71,2947.58,206.70,3.11,59.65,36.21,44.75,583.89,0.57,0.05,520693494.56,415917365.52,2.11,1,38.50,67.59,1,399,5.94,1,0,94.85,83.45,98.46,1,5.90,8.66,8.53,0.98,1.35,78.78,6.29,97.86,837,10,8691,815736,73.55,0,0
France,2012,Hydro,26620.66,8539.74,3720664752.57,341847261,181078118068939.91,96142.21,79079.36,93572.03,834651.78,961075,0,1845832926.75,1,22.25,885.96,170.14,9.96,78.52,78.98,18.55,494.77,0.69,0.21,711293796.93,347893631.86,5.02,1,71.82,64.55,0,496,0.46,1,0,22.26,63.56,68.21,1,0.77,3.16,0.67,5.85,0.69,80.62,21.12,31.20,92,54,6116,169044,12.14,1,0
Canada,2003,Solar,10733.85,34051.30,9901486912.87,1192994800,119491895023196.88,516308.26,72499.66,22558.46,249320.13,86747,0,2040874743.98,0,28.32,832.04,167.05,2.95,62.04,94.49,99.76,295.94,0.02,0.36,563808553.37,613211168.99,9.86,0,87.71,74.37,0,92,3.19,1,0,57.08,97.99,92.06,1,2.69,0.49,1.35,6.25,5.82,51.42,49.58,77.29,460,22,8176,651722,77.69,1,1
Brazil,2022,Solar,11615.99,13704.28,7371028189.22,950565594,168766199459349.56,528470.85,39931.89,62390.28,722437.32,158981,1,822111314.36,1,2.27,1506.10,297.62,9.36,80.11,76.05,36.26,408.50,0.63,0.08,967523354.88,796208055.58,6.52,0,56.76,36.57,0,328,4.57,1,1,48.31,43.18,54.90,1,3.47,7.92,2.80,0.23,5.55,91.83,68.07,25.95,728,85,7026,176560,44.53,1,0
China,2005,Solar,48419.57,22871.16,2598797551.77,263130120,85485846853619.62,93924.05,6432.48,81197.55,360275.79,663212,1,2509365015.33,1,34.84,1239.52,136.45,1.51,81.85,57.19,55.94,994.05,0.11,0.33,8002154.40,259335506.03,2.67,0,45.36,80.94,1,400,7.15,1,1,80.81,60.02,26.98,1,0.77,8.91,9.44,8.42,0.06,25.81,63.77,39.56,917,3,4787,317199,67.58,1,0
France,2008,Hydro,21556.01,29785.30,5728263514.32,1059687000,177797647110759.91,552680.58,57474.32,87071.80,111131.02,800358,0,1218861163.90,1,33.13,428.63,218.25,12.46,68.12,52.53,8.77,881.46,0.73,0.10,632994594.73,933657501.45,1.60,0,93.17,11.98,0,165,0.86,0,1,62.31,59.70,35.77,1,8.12,9.25,1.46,0.72,6.19,62.04,3.79,65.80,642,77,5517,171227,7.59,1,0
Germany,2001,Hydro,83128.30,41791.28,3533926670.97,710112959,87431897493785.34,405651.53,96098.81,14512.33,71881.14,31863,0,9388035402.52,1,12.88,2514.08,155.57,10.19,55.91,0.89,72.94,733.83,0.93,0.38,678379758.47,385713680.31,4.12,0,19.07,57.99,1,134,8.11,1,0,67.27,58.81,58.04,1,5.69,9.65,4.18,8.44,8.26,90.75,61.00,4.13,384,11,7922,457093,96.61,1,1
Russia,2017,Geothermal,75643.11,44629.41,2913704301.61,1113315288,56378722549276.45,84480.45,52945.18,34502.74,893793.85,239297,0,9804912206.95,0,21.42,258.00,239.01,7.07,41.00,69.11,5.69,519.94,0.36,0.21,855406440.33,712748488.18,1.06,1,74.75,76.93,0,631,2.18,0,1,52.33,37.94,96.82,1,8.19,5.43,8.70,8.72,1.11,71.61,79.97,89.08,660,60,3951,747702,99.34,1,0
Russia,2014,Solar,89197.21,9745.47,8210974644.86,967644433,66712093785813.36,393376.61,13000.76,10440.27,393564.73,325017,1,29681326.39,1,31.69,1092.76,158.74,10.70,43.06,98.60,38.39,603.61,0.62,0.17,926943452.69,29050116.91,4.04,1,29.55,57.88,0,8,4.68,0,0,2.85,20.71,18.20,0,9.98,8.87,1.05,7.71,3.96,9.93,39.00,78.69,105,45,6315,659975,6.82,0,1
France,2018,Biomass,75906.46,25794.19,4320818750.24,1478377917,93635175818538.80,612919.46,40317.30,54431.61,748443.02,388927,1,4769094454.88,0,-1.66,2709.35,250.67,10.50,23.20,55.23,12.09,502.03,0.16,0.47,372022030.73,188729199.41,7.05,0,1.68,34.13,1,145,3.32,0,1,82.09,79.31,89.72,1,1.68,1.53,8.64,9.38,0.58,9.96,20.09,16.06,183,4,4205,296510,32.94,0,0
India,2012,Wind,17388.17,6133.81,4659233011.59,412574431,183734359723000.91,738733.12,45089.82,28305.10,254167.79,289775,0,6505435767.41,1,27.59,346.13,131.95,4.33,38.44,36.08,83.03,922.47,0.30,0.33,620699940.88,470618511.80,6.53,1,29.20,90.15,1,146,7.35,1,1,7.05,55.48,68.46,0,5.05,8.40,0.70,1.31,5.96,26.64,55.36,11.96,988,8,8358,570647,8.90,1,0
Brazil,2016,Biomass,98689.07,31087.76,8390698081.94,1103605637,86476049319767.14,550922.87,59189.59,63518.09,19246.02,34824,1,5089500888.46,1,13.52,2087.24,221.47,2.53,21.72,94.75,99.23,142.26,0.45,0.19,897698844.06,989317621.69,4.04,1,35.61,67.68,0,410,0.25,0,0,52.98,89.10,34.42,0,3.21,3.14,2.74,9.33,8.18,17.47,68.36,99.65,791,66,8106,531912,10.68,0,0
Germany,2012,Wind,50762.23,24367.09,3819994856.01,1371444762,122667717662049.95,308605.73,74699.93,6159.06,880203.29,956126,1,5276262397.79,1,39.33,1970.41,251.28,13.81,81.05,68.07,9.25,865.69,0.77,0.16,254502823.85,790114465.30,8.50,1,15.69,48.06,0,631,0.99,0,1,9.63,91.20,2.19,0,8.33,1.99,7.65,7.26,8.56,92.27,56.32,36.83,133,30,6514,663899,98.37,0,1
Australia,2011,Geothermal,34354.90,42898.68,5520610664.70,85273107,191400652592323.44,189039.06,93171.11,54683.25,320637.85,473467,0,3597674386.45,1,11.19,167.57,209.37,7.86,13.68,88.43,32.66,894.75,0.58,0.21,205326927.56,111468917.45,3.14,0,59.34,26.11,1,953,7.44,0,0,50.61,35.51,97.36,0,2.34,9.69,4.63,9.27,7.67,5.62,28.95,95.28,537,32,7694,642887,82.03,0,1
USA,2019,Biomass,51323.52,43975.83,7170606711.05,204163270,25602304887638.37,68459.26,67646.50,54877.06,550190.54,365418,0,5947057152.27,0,-9.63,2302.81,188.98,10.47,61.05,35.20,2.44,993.98,0.99,0.47,929976397.34,4991763.43,5.41,1,60.40,76.83,0,289,5.63,1,0,8.64,46.83,71.56,1,6.01,2.79,2.73,2.07,7.52,65.61,60.00,32.74,979,88,473,948182,13.01,0,1
China,2018,Wind,37808.98,16379.47,65140862.39,548981641,175252791926143.00,897336.44,17971.44,72285.22,778077.11,448999,1,4478879238.51,0,16.83,124.10,276.32,0.16,20.80,7.75,10.95,887.82,0.99,0.44,766822707.09,554777807.30,5.39,1,49.50,94.86,0,789,1.35,0,1,0.44,24.81,26.23,0,8.97,5.10,1.03,0.29,8.36,27.12,57.74,72.55,237,19,1985,328172,4.19,0,1
USA,2000,Solar,4947.42,37438.20,2925045505.54,1331257764,181840970713897.31,841385.17,11165.58,95444.47,642228.76,889854,0,230712754.79,0,33.19,1018.70,192.26,1.98,64.53,6.73,13.57,78.91,0.57,0.47,382588117.81,474213437.56,9.68,1,82.36,37.81,0,302,8.14,0,1,21.78,48.33,47.46,1,8.81,9.95,0.58,7.71,9.07,80.75,60.55,48.39,615,74,6547,302205,67.62,1,1
France,2001,Geothermal,61649.83,19393.67,1803620763.68,366663513,80483865926836.81,338028.36,48387.47,68208.56,615085.21,426270,0,686477186.54,0,8.73,914.55,185.13,13.73,73.27,24.90,70.39,660.59,0.88,0.25,577876153.02,255827331.24,3.66,0,50.90,27.08,1,47,7.43,0,0,67.11,13.29,84.93,1,5.00,1.43,3.16,1.65,2.69,52.69,68.91,98.28,644,40,3288,69843,53.20,0,1
Japan,2003,Biomass,68198.22,16516.41,1496549166.31,1374186829,196203840275576.53,970556.23,2072.39,91972.59,471410.32,916977,1,4401072622.12,0,-7.68,2352.53,292.02,13.80,92.89,35.71,4.55,882.23,0.21,0.42,208588006.74,345333825.70,1.41,0,68.14,62.30,1,83,9.67,1,0,67.98,55.33,12.17,0,2.91,0.65,9.79,0.55,4.91,19.25,37.96,63.72,739,97,6021,389204,71.63,1,0
Australia,2017,Geothermal,55443.53,38576.59,4482674197.81,1016258495,26009592802197.34,777877.20,70426.28,87887.87,273397.83,297450,1,3068047503.93,0,38.85,2215.33,276.81,9.97,40.75,74.61,72.11,862.57,0.98,0.47,823777944.22,114817965.08,1.83,0,19.11,64.15,0,402,1.86,1,1,80.72,48.11,96.84,0,9.36,7.22,1.93,6.05,8.51,30.36,64.42,92.16,953,23,1477,4118,47.84,1,0
Brazil,2009,Hydro,93750.07,45073.42,4961476921.70,380745868,179613590870128.34,23497.78,89227.04,86193.00,362771.13,149460,0,4247955136.00,1,30.02,1996.81,263.16,6.35,65.33,85.43,26.29,723.92,0.78,0.48,919739462.87,686899867.72,0.45,1,81.33,40.82,0,979,7.77,0,0,16.94,37.66,74.66,0,6.40,0.84,4.42,6.86,9.13,24.12,88.31,37.46,334,34,6288,39712,96.38,0,1
Brazil,2001,Hydro,67157.94,29081.10,2679124828.82,736765805,199478310820776.69,602527.02,30807.89,51443.14,298718.72,138975,1,9417792093.13,1,-7.34,2106.47,157.37,11.27,96.70,9.95,28.85,77.90,0.88,0.34,980153169.62,234121415.67,0.16,1,20.92,53.72,1,182,8.18,0,1,9.10,57.66,44.16,0,2.85,0.63,9.44,7.62,2.86,20.59,52.53,64.19,415,31,5941,482208,50.61,0,0
India,2021,Biomass,11516.41,4394.43,1698271410.67,1395626808,196798108449053.91,386907.95,14787.03,99421.02,397341.63,228861,0,6049980029.10,0,-1.91,600.52,222.63,2.34,8.84,6.45,83.26,862.05,0.33,0.42,439221353.73,796213401.41,0.82,1,95.31,85.99,1,298,2.58,1,1,57.26,89.19,84.56,1,8.62,4.42,3.16,3.77,6.09,49.70,28.83,38.35,532,18,2007,862164,41.70,1,0
Brazil,2017,Geothermal,12724.65,3332.06,4714850721.73,62384308,109982836398141.05,835387.86,95058.48,13953.63,177012.17,759033,1,860409071.03,0,-4.83,1366.26,138.67,1.18,96.64,15.88,13.71,481.98,0.88,0.13,310975165.41,324447263.28,1.68,1,32.35,72.64,1,425,3.76,0,0,5.71,68.20,94.72,1,6.10,6.56,0.53,9.28,9.79,42.99,42.01,1.62,553,3,5688,30341,26.14,0,0
China,2015,Biomass,90335.75,24218.02,8915744496.41,738944223,117403228076222.88,694494.71,60061.89,41810.40,208291.61,167546,0,4712549986.38,0,19.86,1691.67,161.64,2.58,47.28,66.16,50.54,392.99,0.65,0.25,34390153.17,944276049.35,4.82,0,46.88,19.73,0,500,0.77,0,0,13.14,97.69,13.56,0,4.21,6.90,3.07,5.34,3.18,77.76,17.50,2.45,798,84,853,377154,63.95,1,1
France,2017,Wind,81646.65,28458.27,4608725826.62,149885625,116997143143815.09,215173.02,2536.69,66575.62,408752.08,153465,0,7610862500.05,1,-2.55,745.71,241.17,6.91,36.50,80.03,93.71,805.08,0.24,0.25,729909518.31,721874582.94,2.31,1,26.40,44.98,1,955,4.97,0,1,53.43,23.21,15.57,0,8.54,5.05,7.46,2.20,8.01,44.84,87.69,14.68,740,96,8719,129920,3.39,1,0
USA,2016,Hydro,57806.16,14299.69,2092166889.01,351923670,133938321208850.06,321862.90,17828.08,84441.27,708017.44,458824,1,2789829417.87,1,1.35,689.18,124.56,11.84,85.27,10.13,88.18,637.17,0.74,0.49,672568402.60,913039478.16,8.35,1,1.47,89.24,1,382,3.08,0,0,26.88,61.33,24.92,0,0.42,3.19,4.07,0.76,0.72,39.79,78.41,62.32,838,89,6679,796339,30.09,1,0
China,2019,Wind,58185.25,32964.87,1492233960.33,1377716101,142370656216646.41,535104.90,48969.98,8551.22,945850.14,806150,1,4826356352.84,0,30.49,1368.71,145.43,0.91,69.37,83.88,24.12,20.51,0.75,0.29,631983918.90,723499319.01,8.58,1,11.52,32.26,1,495,5.90,0,1,48.92,36.33,93.22,0,2.10,5.78,6.15,6.45,1.75,44.23,73.00,91.02,257,30,9725,227219,36.26,0,1
China,2013,Hydro,81107.35,12207.92,258254332.70,896751513,64621472147158.12,995124.52,76626.03,44869.50,799136.93,66726,1,3467111864.58,1,-1.37,199.27,133.68,0.72,26.86,70.21,80.61,697.04,0.50,0.46,864533694.37,741880788.54,4.94,0,71.98,5.60,0,180,6.13,0,1,8.83,3.99,47.97,1,8.29,2.59,5.79,9.92,9.55,16.59,15.79,56.05,454,82,5687,846625,95.18,1,0
France,2014,Biomass,73253.97,25140.45,2150900060.52,1108540371,175492183829610.31,344776.22,75863.90,81303.37,490109.54,939636,1,1025919908.90,1,30.07,2224.23,298.45,7.30,46.94,56.95,53.74,493.67,0.48,0.41,628534132.81,94658685.16,7.01,1,80.76,87.57,0,342,1.65,1,1,25.08,70.73,81.34,1,4.72,5.65,1.76,3.46,7.50,60.80,28.75,89.09,965,13,598,108358,5.74,1,0
Brazil,2017,Geothermal,93332.60,7175.18,6159300988.17,111406341,28904722202088.77,29055.60,87427.88,67711.23,315606.51,809956,0,5945803566.17,0,5.51,1818.28,241.95,10.17,72.50,2.40,2.19,420.97,0.49,0.26,972438216.55,26868118.35,9.28,1,62.78,45.47,1,627,2.00,0,0,83.58,91.43,8.53,0,6.05,3.83,4.94,5.47,1.05,61.41,78.82,32.82,824,27,6517,841328,37.43,0,1
Australia,2010,Geothermal,24073.33,14344.91,3067672684.47,990170227,133094088706911.50,662236.10,14999.40,64996.51,531921.64,98158,0,2622555481.77,0,24.47,2379.77,115.05,7.68,60.38,77.12,92.87,235.85,0.41,0.41,669323709.84,174839599.50,9.27,0,97.70,61.67,1,537,4.14,1,1,86.94,26.08,52.18,1,4.66,2.13,2.34,0.88,2.51,34.25,29.23,91.96,444,57,2457,177534,45.49,0,1
China,2008,Geothermal,76878.52,9283.26,7411035135.87,601741507,76911016385118.62,398767.26,30687.73,18082.28,4870.06,712417,0,6944134501.50,1,29.88,2446.20,227.57,0.84,20.91,6.95,93.19,272.22,0.14,0.28,715205917.72,139172654.01,1.30,0,95.84,17.13,0,335,6.84,1,0,10.72,59.44,17.25,0,1.44,1.91,8.59,3.47,8.50,47.33,11.37,88.50,122,68,7141,97555,51.04,1,1
Australia,2007,Wind,82303.46,13671.90,2952536191.73,883214834,17581188111595.75,855082.69,73792.14,94315.39,50656.03,255363,0,5081106215.73,1,2.04,2166.65,123.74,3.70,78.82,42.11,25.09,489.84,0.66,0.10,881350765.31,678480069.12,1.91,1,51.47,73.94,1,362,1.34,0,1,71.35,97.73,73.15,1,1.89,2.54,1.36,6.64,8.40,86.43,0.65,9.53,810,13,9527,931794,68.81,0,0
India,2011,Wind,99696.61,32732.96,3498935413.86,43200308,94001974540684.23,799920.80,92446.74,2502.09,1124.77,232087,1,8559479236.23,0,15.20,949.41,282.16,8.18,43.42,15.26,88.45,480.66,0.36,0.49,129612466.13,276675399.46,1.85,0,62.79,33.94,0,135,0.86,1,0,12.51,23.59,16.20,0,8.51,7.22,1.82,0.51,1.21,84.64,58.02,93.24,27,42,4977,483533,64.07,0,0
USA,2022,Wind,35753.15,10077.60,8417538909.24,290458292,148629005503754.91,205728.35,54730.13,47181.64,410423.64,663523,1,9991966891.15,0,12.67,723.81,152.16,3.80,12.86,79.39,20.05,990.26,0.66,0.45,66386739.14,929541070.00,8.69,1,0.62,26.35,1,651,4.58,0,0,99.83,11.21,55.20,0,6.37,0.42,5.95,8.28,2.67,96.62,57.33,40.91,616,60,331,482813,88.75,1,0
Russia,2003,Wind,15344.98,36328.39,1352071928.21,308133434,131248048355095.44,999176.59,13394.16,93862.95,887539.75,756674,0,8668648619.23,0,33.03,2945.50,127.61,8.01,72.71,91.25,94.32,878.38,0.10,0.33,487348065.93,676547320.16,5.10,1,24.30,21.66,0,429,6.58,0,1,61.48,19.37,74.48,1,1.64,1.36,3.89,8.96,4.58,16.11,29.40,5.74,297,3,9411,113535,22.68,0,1
Japan,2007,Wind,71513.80,29381.06,8678697055.54,918713759,35934554247261.88,755371.20,72961.92,43793.16,364566.31,93857,0,1303316903.62,1,16.59,1465.93,127.77,11.39,25.55,64.62,33.44,537.56,0.92,0.14,101119321.95,875396345.58,3.20,1,59.63,23.49,1,707,9.12,1,1,21.42,42.61,67.35,1,7.15,1.40,0.08,7.41,7.45,49.17,54.56,3.32,126,7,3203,698590,4.03,0,0
Australia,2007,Hydro,59493.18,13513.12,232934345.98,741405971,118198678537636.20,726757.47,2299.13,28709.52,705960.13,387819,1,1656870883.91,1,-4.52,1792.13,183.42,7.90,31.86,69.23,79.73,724.15,0.39,0.06,125254412.30,921953731.22,8.92,1,89.32,58.32,1,233,1.62,1,1,93.14,54.48,61.78,1,9.46,2.03,5.78,7.74,0.51,40.56,11.83,66.08,154,12,899,77741,10.38,0,0
Brazil,2012,Wind,30318.89,28509.43,2331416295.61,1100399259,128147674381589.88,132903.61,16496.15,76504.13,526533.29,280189,1,6308336256.74,1,10.51,1735.24,285.76,1.51,97.89,97.76,1.22,777.30,0.37,0.24,406641030.60,902495361.48,1.74,0,93.01,85.21,0,411,4.08,1,0,75.14,13.69,84.00,1,8.68,0.57,3.32,6.35,8.90,10.38,99.66,92.61,653,82,5476,6545,69.05,1,1
France,2007,Biomass,81081.63,22358.21,1921633363.03,222818710,97437494147417.31,209625.10,25420.92,31651.14,862891.71,761496,0,2728176543.17,1,20.82,1837.17,219.50,2.78,48.14,75.54,48.52,243.20,0.86,0.13,66715933.98,443627106.34,4.64,1,47.14,2.14,1,996,1.31,0,0,71.58,13.47,25.96,1,4.89,7.69,1.38,9.45,6.57,69.50,70.28,63.13,817,27,3676,837531,57.44,0,1
